,latitude,longitude,country
Antananarivo,-18.9100121,47.5255809,Madagascar
Bouake,7.6906058,-5.0298407,Cote d'Ivoire
Brazzaville,-4.2694406,15.2712256,Congo
Bukavu,-2.5055409,28.859569,Democratic Republic of Congo
Chimoio,-19.1109209,33.476659,Mozambique
Dakar,14.693425,-17.4479379,Senegal
Dire Dawa,9.5944718,41.85572,Ethiopia
Dodoma,-6.179118,35.7468174,Tanzania
Freetown,8.479004,-13.2679499,Sierra Leone
Gao,16.2788129,-0.0412391,Mali
Ikirun,7.916667,4.666667,Nigeria
Iringa,-7.7805197,35.6976245,Tanzania
Johannesburg,-26.2049999,28.049722,South Africa
Kabwe,-14.4415249,28.4441831,Zambia
Kampala,0.3177137,32.5813539,Uganda
Kaolack,14.138815,-16.0763909,Senegal
Katsina,12.9894283,7.6006278,Nigeria
Kayamandi,-33.9170556,18.8465016,South Africa
Kinshasa,-4.3217054,15.3125974,Democratic Republic of Congo
Kisumu,-0.1029108,34.7541761,Kenya
Libreville,0.390002,9.454001,Gabon
Lusaka,-15.4166966,28.2813812,Zambia
Mbeya,-8.9084794,33.4694016,Tanzania
Mekele,13.5011216,39.4757557,Ethiopia
Monrovia,6.328034,-10.7977879,Liberia
Nairobi,-1.2832532,36.8172449,Kenya
Ndola,-12.9693055,28.6365894,Zambia
Nelspruit,-25.4819439,30.984722,South Africa
Nzerekore,7.7579345,-8.8176067,Guinea
Obuasi,6.2116833,-1.6896109,Ghana
Okene,7.5981262,6.2317518,Nigeria
Onitsha,6.144842,6.797495,Nigeria
Ouagadougou,12.368148,-1.5270849,Burkina Faso
Owo,6.5082,7.6701,Nigeria
Pietermaritzburg,-29.5999999,30.3788889,South Africa
Pietersburg,-23.9058332,29.4613889,South Africa
Rufisque,14.716417,-17.2738439,Senegal
Saint-Louis,16.0280445,-16.5048685,Senegal
San Pedro,4.7581592,-6.6415489,Cote d'Ivoire
Shaki,9.35,6.8,Nigeria
Tamale,9.4043366,-0.8430288,Ghana
Toamasina,-18.15537,49.4101896,Madagascar
Tulear,-23.3541729,43.66966,Madagascar
Umuahia,5.5289005,7.4991542,Nigeria
Windhoek,-22.5744183,17.0791233,Namibia
Yamoussoukro,6.809107,-5.2732629,Cote d'Ivoire
Ziguinchor,12.5634929,-16.2724608,Senegal
